2026/03/28 20:13:03 [error] 38#0: *49156 open() "/nginx/html/baseline11" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "POST /baseline11?a=13&b=42 HTTP/1.1", host: "localhost:8080"
2026/03/28 20:13:03 [alert] 38#0: *49156 header already sent, client: 127.0.0.1, server: , request: "POST /baseline11?a=13&b=42 HTTP/1.1", host: "localhost:8080"
2026/03/28 20:13:03 [error] 44#0: *49157 open() "/nginx/html/baseline11" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "POST /baseline11?a=13&b=42 HTTP/1.1", host: "localhost:8080"
2026/03/28 20:13:03 [alert] 44#0: *49157 header already sent, client: 127.0.0.1, server: , request: "POST /baseline11?a=13&b=42 HTTP/1.1", host: "localhost:8080"
2026/03/28 20:13:03 [error] 63#0: *49159 open() "/nginx/html/baseline11" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "POST /baseline11?a=13&b=42 HTTP/1.1", host: "localhost:8080"
2026/03/28 20:13:03 [alert] 63#0: *49159 header already sent, client: 127.0.0.1, server: , request: "POST /baseline11?a=13&b=42 HTTP/1.1", host: "localhost:8080"
2026/03/28 20:13:03 [error] 10#0: *49160 open() "/nginx/html/baseline11" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "POST /baseline11?a=13&b=42 HTTP/1.1", host: "localhost:8080"
2026/03/28 20:13:03 [alert] 10#0: *49160 header already sent, client: 127.0.0.1, server: , request: "POST /baseline11?a=13&b=42 HTTP/1.1", host: "localhost:8080"
2026/03/28 20:13:03 [error] 113#0: *49164 open() "/nginx/html/upload" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "POST /upload HTTP/1.1", host: "localhost:8080"
2026/03/28 20:13:03 [alert] 113#0: *49164 header already sent, client: 127.0.0.1, server: , request: "POST /upload HTTP/1.1", host: "localhost:8080"
2026/03/28 20:13:03 [error] 82#0: *49165 open() "/nginx/html/upload" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "POST /upload HTTP/1.1", host: "localhost:8080"
2026/03/28 20:13:03 [alert] 82#0: *49165 header already sent, client: 127.0.0.1, server: , request: "POST /upload HTTP/1.1", host: "localhost:8080"
2026/03/28 20:13:03 [error] 124#0: *49166 open() "/nginx/html/compression" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /compression HTTP/1.1", host: "localhost:8080"
2026/03/28 20:13:03 [error] 9#0: *49167 open() "/nginx/html/compression" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /compression HTTP/1.1", host: "localhost:8080"
2026/03/28 20:13:03 [error] 18#0: *49168 open() "/nginx/html/compression" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /compression HTTP/1.1", host: "localhost:8080"
2026/03/28 20:13:03 [error] 9#0: *49171 open() "/nginx/html/this/path/does/not/exist" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /this/path/does/not/exist HTTP/1.1", host: "localhost:8080"
2026/03/28 20:13:03 [error] 75#0: *49173 open() "/nginx/html/db" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /db?min=10&max=50 HTTP/1.1", host: "localhost:8080"
2026/03/28 20:13:03 [error] 36#0: *49174 open() "/nginx/html/db" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /db?min=10&max=50 HTTP/1.1", host: "localhost:8080"
2026/03/28 20:13:03 [error] 46#0: *49175 open() "/nginx/html/db" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /db?min=9999&max=9999 HTTP/1.1", host: "localhost:8080"
2026/03/28 20:13:03 [error] 44#0: *49176 open() "/nginx/html/static/reset.css" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /static/reset.css HTTP/1.1", host: "localhost:8080"
2026/03/28 20:13:03 [error] 123#0: *49177 open() "/nginx/html/static/app.js" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /static/app.js HTTP/1.1", host: "localhost:8080"
2026/03/28 20:13:03 [error] 79#0: *49178 open() "/nginx/html/static/manifest.json" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /static/manifest.json HTTP/1.1", host: "localhost:8080"
2026/03/28 20:13:03 [error] 32#0: *49179 open() "/nginx/html/static/reset.css" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /static/reset.css HTTP/1.1", host: "localhost:8080"
2026/03/28 20:13:03 [error] 12#0: *49180 open() "/nginx/html/static/nonexistent.txt" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /static/nonexistent.txt HTTP/1.1", host: "localhost:8080"
2026/03/28 20:13:03 [error] 134#0: *49181 open() "/nginx/html/async-db" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /async-db?min=10&max=50 HTTP/1.1", host: "localhost:8080"
2026/03/28 20:13:03 [error] 89#0: *49182 open() "/nginx/html/async-db" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /async-db?min=10&max=50 HTTP/1.1", host: "localhost:8080"
2026/03/28 20:13:03 [error] 85#0: *49183 open() "/nginx/html/async-db" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /async-db?min=9999&max=9999 HTTP/1.1", host: "localhost:8080"
